absolute_magnitude_h,close_approach_date,miss_distance_astronomical,miss_distance_lunar,miss_distance_kilometers,miss_distance_miles,relative_velocity_kph,relative_velocity_kps,relative_velocity_mph,estimated_max_diameter_kilometers,estimated_min_diameter_kilometers,estimated_max_diameter_miles,estimated_min_diameter_miles,id,is_potentially_hazardous,is_sentry_object,name
24.0,2018-01-03,0.0936131389,36.4155110321,14004326.183454143,8701884.7786394534,67826.5581669876,18.8407106019,42144.7855454818,0.0941976306,0.0421264611,0.0585316759,0.0261761612,3725652,False,False,(2015 PS56)
23.8,2018-01-03,0.1919656346,74.6746318594,28717650.049358302,17844320.2885444876,50320.4753846552,13.9779098291,31267.1864966487,0.1032856481,0.046190746,0.0641787064,0.0287015901,3795085,False,False,(2017 YN5)
27.3,2018-01-03,0.0121573775,4.7292198475,1818717.778785925,1130098.824358765,37876.7242822997,10.5213123006,23535.1234852989,0.0206081961,0.0092162655,0.0128053354,0.0057267201,3795125,False,False,(2017 YD7)
25.0,2018-01-03,0.0530220151,20.6255638739,7931980.522067837,4928704.1493646706,59608.157092295,16.5578214145,37038.1907221541,0.0594346868,0.02658,0.0369309908,0.0165160412,3797741,False,False,(2018 BJ1)
25.2,2018-01-03,0.0667183585,25.9534414565,9980924.321496395,6201858.789364451,8174.8937972737,2.2708038326,5079.5610930893,0.0542050786,0.0242412481,0.0336814639,0.0150628086,3788016,False,False,(2017 UY4)
24.6,2018-01-03,0.0859635835,33.4398339815,12859968.989167145,7990814.190890801,47876.1818571367,13.2989394048,29748.3975545081,0.0714562102,0.0319561887,0.0444008168,0.0198566489,3796290,False,False,(2017 YQ8)
23.1,2018-01-03,0.0556046307,21.6302013423,8318334.314856609,5168773.2640508442,31183.1823421522,8.661995095,19376.0168281001,0.1425738833,0.063760979,0.0885912765,0.0396192233,3795089,False,False,(2017 YP5)
20.7,2018-01-03,0.4642881074,180.6080737786,69456511.933371238,43158275.2395815644,98713.8641311942,27.4205178142,61336.9562986301,0.4305662442,0.1925550782,0.2675413778,0.1196481415,2481965,False,False,481965 (2009 EB1)
23.3,2018-01-03,0.2919317322,113.5614438258,43672365.322530414,27136749.4636271532,20749.5409558407,5.7637613766,12892.9578233667,0.130028927,0.058150704,0.0807962044,0.0361331611,3798987,False,False,(2018 BY6)
23.277,2018-01-03,0.4727436027,183.8972614503,70721436.020046249,43944262.6203222762,70622.3554041157,19.6173209456,43881.9852231851,0.131413499,0.0587699034,0.0816565373,0.0365179136,3838038,False,False,(2019 BT3)
20.1,2018-01-04,0.323822644,125.967008516,48443177.80016828,30101194.874071064,10258.1946317481,2.8494985088,6374.0432143771,0.5675968529,0.2538370294,0.3526882241,0.1577269688,2505093,False,False,505093 (2011 VQ5)
25.4,2018-01-04,0.2568737403,99.9238849767,38427764.407813161,23877905.5698211818,41689.1075613527,11.5803076559,25903.9901955527,0.0494356193,0.022108281,0.0307178602,0.0137374447,3553988,False,False,(2010 XR69)
20.1,2018-01-04,0.3238226636,125.9670161404,48443180.732286532,30101196.6960048616,10258.2560408589,2.8495155669,6374.0813716103,0.5675968529,0.2538370294,0.3526882241,0.1577269688,3586023,False,False,(2011 VQ5)
21.5,2018-01-04,0.3751322776,145.9264559864,56118989.697208712,34870723.2209237456,31143.2924922888,8.6509145812,19351.2308266669,0.2978790628,0.1332155667,0.1850934111,0.0827762899,3703780,False,False,(2015 AC45)
25.7,2018-01-04,0.0258283326,10.0472213814,3863863.542611562,2400893.4744690756,26827.0131456602,7.451948096,16669.2626959798,0.0430566244,0.0192555078,0.0267541378,0.0119648141,3797476,False,False,(2018 AK3)
21.9,2018-01-04,0.349523978,135.964827442,52288042.62272686,32490283.091316268,44097.9654768541,12.2494348547,27400.7608264375,0.2477650126,0.1108038821,0.1539539936,0.068850319,3797861,True,False,(2018 BM3)
34.282,2018-01-04,0.0001110243,0.0431884527,16608.998798241,10320.3532920858,23900.0902099591,6.6389139472,14850.586608516,0.0008272561,0.0003699602,0.000514033,0.0002298825,3799865,False,False,(2018 DM4)
18.8,2018-01-04,0.4672254825,181.7507126925,69895936.991722275,43431321.309526395,77667.5636143542,21.5743232262,48259.603624708,1.0328564805,0.4619074603,0.6417870641,0.2870159005,2440212,True,False,440212 (2004 OB)
